Ημερομηνία,Προγραμματισμένη/Έκτακτη,Διασταύρωση,Περιοχή
26/10/2023,ΕΚΤΑΚΤΗ,"Ελπίδος και Παπαφλέσσα",ΓΑΛΑΤΣΙ
26/10/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγ. Βαρβάρας και Φιλομήλας",ΔΑΦΝΗ
26/10/2024,ΕΚΤΑΚΤΗ,"Αγίας Φωτεινής και Μικράς Ασίας",ΑΣΠΡΟΠΥΡΓΟΣ
26/10/2024,ΕΚΤΑΚΤΗ,"Αχαιών και Ηρακλειδών","ΑΓ. ΙΕΡΟΘΕΟΣ"
26/10/2024,ΕΚΤΑΚΤΗ,"Διστόμου και Τήνου",ΚΕΡΑΤΣΙΝΙ
26/10/2024,ΕΚΤΑΚΤΗ,"Θουκυδίδου και Αρχιμήδους",ΠΕΝΤΕΛΗ
26/10/2024,ΕΚΤΑΚΤΗ,"Καραϊσκάκη και Αγ.Λαύρας",ΠΑΛΛΗΝΗ
26/10/2024,ΕΚΤΑΚΤΗ,"Κωνσταντινουπόλεως και Αγ.Βασιλείου Ρεθύμνου",ΑΣΠΡΟΠΥΡΓΟΣ
26/10/2024,ΕΚΤΑΚΤΗ,"Κωστή Παλαμά και Παλαιολόγου",ΧΑΛΑΝΔΡΙ
26/10/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Εθνικής Αντιστάσεως και Ομηρείου",ΚΑΙΣΑΡΙΑΝΗ
26/10/2024,ΕΚΤΑΚΤΗ,"Μιαούλη και Θέμιδος",ΑΘΗΝΑ
26/10/2024,ΕΚΤΑΚΤΗ,"Μίνωος και Αιόλου",ΒΥΡΩΝΑΣ
26/10/2024,ΕΚΤΑΚΤΗ,"Μόρνου και Αθ. Μπόσδα",ΑΥΛΙΖΑ
26/10/2024,ΕΚΤΑΚΤΗ,"Παπαφλέσσα και Υψηλάντου",ΔΡΑΠΕΤΣΩΝΑ
26/10/2024,ΕΚΤΑΚΤΗ,"Σινώπης και Γαληνού",ΚΕΡΑΤΣΙΝΙ
26/10/2024,ΕΚΤΑΚΤΗ,"Σταδίου και Αμερικής",ΑΘΗΝΑ
26/10/2024,ΕΚΤΑΚΤΗ,"Φιλελλήνων και Φιλικής Εταιρείας",ΧΑΛΑΝΔΡΙ
26/10/2024,ΕΚΤΑΚΤΗ,"Χείλωνος 5",ΒΥΡΩΝΑ
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Παγκάλου και Στρατάρχου Αλέξανδρου Παπάγου","ΜΕΛΙΣΣΙΑ 251025"
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λαμίας και Γράμμου ",ΜΕΛΙΣΣΙΑ_1
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λαχανά και Ηπείρου ","ΜΕΛΙΣΣΙΑ 1"
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ηρώων Πολυτεχνείου και Ναυπλίου ","ΜΕΛΙΣΣΙΑ 2"
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Θεμιστοκλέους και Μουσών ",ΝΙΚΑΙΑ
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Υμηττού και Μέτωνος",ΧΟΛΑΡΓΟΣ
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Υψηλάντου και Οδ. Ανδρούτσου ","ΜΕΛΙΣΣΙΑ 3"
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Δημοκρατίας Λεωφ. και Αγίου Παντελεήμονος",ΣΑΛΑΜΙΝΑ_6
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"25ης Μαρτίου και 3ης Σεπτεμβρίου ",ΜΕΓΑΡΑ_6
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Στρατηγού Μακρυγιάννη και Δελφών","ΝΕΟ ΨΥΧΙΚΟ_2"
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγίας Παρασκεύης και Σμυρναίου",ΠΕΙΡΑΙΑΣ_2
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κοιμήσεως Θεοτόκου και Σαλαμινομάχων",
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ιωαννίνων και Σόλωνος",ΑΙΓΑΛΕΩ_6
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Δελφών και Δελφών 9 Πάροδος",ΡΕΝΤΗ_2
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Προκοπίου και Μήλου",20251026_ΠΡΟΚΟΠΙΟΥ
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αλεξανδρουπόλεως και Αμαζόνων",20251026_ΑΛΕΞΑΝΔΡΟΥΠΟΛΕΩΣ
26/10/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μεγ.Αλεξάνδρου και Διογένους","20251026_ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ"
26/11/2023,ΕΚΤΑΚΤΗ,"Ζάππα και Κωστή Παλαμά",ΓΕΡΟΒΟΥΝΟ
26/11/2023,ΕΚΤΑΚΤΗ,"Λευκών Ορέων και Πωγωνίου","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
26/11/2023,ΕΚΤΑΚΤΗ,"Κνωσού και κωστή Παλαμά",ΓΕΡΟΒΟΥΝΟ
26/11/2023,ΕΚΤΑΚΤΗ,"Ηλιοδώρου και Ιπποδάμου",ΑΘΗΝΑ
26/11/2023,ΕΚΤΑΚΤΗ,"Καραμανλή Κ. και Πλατεία 25ης Μαρτίου",ΗΛΙΟΥΠΟΛΗ
26/11/2023,ΕΚΤΑΚΤΗ,"Θράκης και Αντιγόνης","ΝΕΑ ΙΩΝΙΑ"
26/11/2023,ΕΚΤΑΚΤΗ,"Πίνδου και Δαρειώτου, περιοχή Αγ. Δημητρίου",ΚΗΦΙΣΙΑ
26/11/2023,ΕΚΤΑΚΤΗ,"Ελπίδος και Χρυσανθέμων περιοχή Αγ. Τριάδα",ΗΡΑΚΛΕΙΟ
26/11/2023,ΕΚΤΑΚΤΗ,"Καβάλας 208","ΛΟΦΟΣ ΑΞΙΩΜΑΤΙΚΩΝ"
26/11/2023,ΕΚΤΑΚΤΗ,"Σπερχειου και Μουστάκα Αετοπούλου Καλλιόπης",ΠΑΤΗΜΑ
26/11/2024,ΕΚΤΑΚΤΗ,"17ης Νοεμβρίου και Σύρου",ΧΟΛΑΡΓΟΣ
26/11/2024,ΕΚΤΑΚΤΗ,"25ης Μαρτίου και Αρκαδίου",ΑΙΓΑΛΕΩ
26/11/2024,ΕΚΤΑΚΤΗ,"3ης Σεπτεμβρίου και Καποδιστρίου",ΑΘΗΝΑ
26/11/2024,ΕΚΤΑΚΤΗ,"Αγίου Νεκταρίου και Ίριδος",ΓΛΥΦΑΔΑ
26/11/2024,ΕΚΤΑΚΤΗ,"Αιόλου και Λεωφόρος Βενιζέλου Ελ.","ΑΓ. ΒΑΡΒΑΡΑ"
26/11/2024,ΕΚΤΑΚΤΗ,"Αλκιβιάδου και Ευαγγελίστριας",ΠΕΙΡΑΙΑΣ
26/11/2024,ΕΚΤΑΚΤΗ,"Αφροδίτης και Αιόλου","Π. ΦΑΛΗΡΟ"
26/11/2024,ΕΚΤΑΚΤΗ,"Βεντούρη και Κεραμεικού",ΧΟΛΑΡΓΟΣ
26/11/2024,ΕΚΤΑΚΤΗ,"Γεωργίου Ανδρέα και Νικολάου Ι.",ΑΘΗΝΑ
26/11/2024,ΕΚΤΑΚΤΗ,"Ζηνοδώρου και Σαρπηδόνος",ΑΘΗΝΑ
26/11/2024,ΕΚΤΑΚΤΗ,"Κουντουριωτών και Καρπενησίου",ΧΑΛΑΝΔΡΙ
26/11/2024,ΕΚΤΑΚΤΗ,"Λ. Ποσειδώνος . Επηρεαζεται  η Νέα Σμύρνη κι η Καλλιθέα","Π. ΦΑΛΗΡΟ"
26/11/2024,ΕΚΤΑΚΤΗ,"Μαραθώνος και Δωριέων","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ"
26/11/2024,ΕΚΤΑΚΤΗ,"Μεσολογγίου και Ρόδου",ΑΛΙΜΟΣ
26/11/2024,ΕΚΤΑΚΤΗ,"Νερακίου και Ελ Βενιζέλου","Ν. ΠΕΡΑΜΟΣ"
26/11/2024,ΕΚΤΑΚΤΗ,"Νίκου Καζαντζάκη και Ηλία Βενέζη",ΑΣΠΡΟΠΥΡΓΟΣ
26/11/2024,ΕΚΤΑΚΤΗ,"Παναγίας Ντάρδιζας και Αγίου Ελευθερίου",ΑΧΑΡΝΕΣ
26/11/2024,ΕΚΤΑΚΤΗ,"Πέλλης και Τζων Κέννεντυ",ΠΕΡΙΣΤΕΡΙ
26/11/2024,ΕΚΤΑΚΤΗ,"Ρίμινι και Διγενή Ακρίτα",ΑΙΓΑΛΕΩ
26/11/2024,ΕΚΤΑΚΤΗ,"Σαντορίνης και Θεοτοκοπούλου",ΑΧΑΡΝΕΣ
26/11/2024,ΕΚΤΑΚΤΗ,"Σολωμού και Αγαμέμνονος","ΑΓ. ΑΝΑΡΓΥΡΟΙ"
26/11/2024,ΕΚΤΑΚΤΗ,"Σπαθάρη και Δήλου",ΚΗΦΙΣΙΑ
26/11/2024,ΕΚΤΑΚΤΗ,"Ύδρας και Ψαρών",ΗΛΙΟΥΠΟΛΗ
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κυζίκου και Κύπρου ","ΝΕΑ ΠΕΡΑΜΟΣ"
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μάνου Κατράκη και Εμμ. Μπενάκη",ΚΕΡΑΤΣΙΝΙ_6
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Χαλκιδικής και Πτολεμαΐδος",20251126_ΧΑΛΚΙΔΙΚΗΣ
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Χρυσοστόμου Σμύρνης και Θουκυδίδου","20251126_ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ"
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Νικοπόλεως και Λυκάβου",ΖΩΓΡΑΦΟΣ_1
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σωκράτους και Παπούλα",ΑΙΓΑΛΕΩ_4
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σωρού και Τριανταφύλλη",ΜΑΡΟΥΣΙ_2
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μεγαλουπόλεως και Καλλονής","ΝΕΑ ΠΕΡΑΜΟΣ_4"
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αργυροκάστρου και Μεταμορφώσεως",ΠΕΙΡΑΙΑΣ_6
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ταϋγέτου και Στρ. Καλλάρη",ΨΥΧΙΚΟ_2
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μέτρων και Χαλκηδόνος",ΚΕΡΑΤΣΙΝΙ_7
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Υγείας και Σερρών",ΚΟΡΥΔΑΛΛΟΣ_1
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Παύλου Πουραίμη και Ναπολέοντος ",ΑΧΑΡΝΕΣ_6
26/11/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγίας Άννας και Στέφανου Σαράφη ",ΑΣΠΡΟΠΥΡΓΟΣ_1
26/12/2023,ΕΚΤΑΚΤΗ,"Ευρυτανίας και Τσιτούρη",ΧΑΛΑΝΔΡΙ
26/12/2023,ΕΚΤΑΚΤΗ,"Ευαγγελιστρίας και Βασιλέως Γεωργίου Β΄",ΓΛΥΦΑΔΑ
26/12/2023,ΕΚΤΑΚΤΗ,"Αίθρας και Λητούς",ΒΑΡΗ
26/12/2023,ΕΚΤΑΚΤΗ,"Συνταγματάρχου Γεωργούλα και Βραχνού",ΑΘΗΝΑ
26/12/2023,ΕΚΤΑΚΤΗ,"Ζέας και Ιμίων",ΜΕΤΑΜΟΡΦΩΣΗ
26/12/2023,ΕΚΤΑΚΤΗ,"Βορείου Ηπείρου και Προποντίδος","ΑΝΩ ΓΛΥΦΑΔΑ"
26/12/2023,ΕΚΤΑΚΤΗ,"25ης Μαρτίου και Ηπείρου","ΑΝΩ ΚΗΦΙΣΙΑ"
26/12/2023,ΕΚΤΑΚΤΗ,"Παπανικολή και Ζαΐμη",ΗΛΙΟΥΠΟΛΗ
26/12/2023,ΕΚΤΑΚΤΗ,"Αρχιεπισκόπου Αθηνών Χρυσοστόμου και Κολοκοτρώνη","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
26/12/2023,ΕΚΤΑΚΤΗ,"Δάφνης και Ιοκάστης",ΖΩΓΡΑΦΟΣ
26/12/2023,ΕΚΤΑΚΤΗ,"Παλαντίου και Μεγαλουπόλεως",ΠΕΡΙΣΤΕΡΙ
26/12/2023,ΕΚΤΑΚΤΗ,"Βίκτωρος Ουγκό και Δημοκρίτου",ΑΧΑΡΝΕΣ
26/12/2023,ΕΚΤΑΚΤΗ,"Αισχύλου και Λουκιανού",ΑΛΙΜΟΣ
26/12/2024,ΕΚΤΑΚΤΗ,"Mητροπόλεως και Αριστοτέλους",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ
26/12/2024,ΕΚΤΑΚΤΗ,"Ευθυκράτους και Σάρωνος",ΑΘΗΝΑ
26/12/2024,ΕΚΤΑΚΤΗ,"Θησέως και Αφροδίτης",ΒΟΥΛΙΑΓΜΕΝΗ
26/12/2024,ΕΚΤΑΚΤΗ,"Κέκροπος και Μεσογείων",ΜΑΡΟΥΣΙ
26/12/2024,ΕΚΤΑΚΤΗ,"Λεάγρου και Αιγίσθου",ΑΘΗΝΑ
26/12/2024,ΕΚΤΑΚΤΗ,"Λεωφόρος Ελ.Βενιζέλου και Γρ.Λαμπράκη",ΚΑΛΛΙΘΕΑ
26/12/2024,ΕΚΤΑΚΤΗ,"Μεσολογγίου και Λαρίσης",ΠΕΥΚΗ
26/12/2024,ΕΚΤΑΚΤΗ,"Ξάνθου και Νικηταρά","Ν. ΨΥΧΙΚΟ"
26/12/2024,ΕΚΤΑΚΤΗ,"Παλαιών Πατρών Γερμανού και Ολύμπου",ΒΥΡΩΝΑ
26/12/2024,ΕΚΤΑΚΤΗ,"Σαλίβερου και Νεαπόλεως",ΜΑΡΟΥΣΙ
26/12/2024,ΕΚΤΑΚΤΗ,"Σκουζέ και Κολοκοτρώνη",ΠΕΝΤΕΛΗ
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ασκληπιού και Παλαιολόγου","ΠΑΛΑΙΟ ΦΑΛΗΡΟ "
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Γ. Παπανδρέου και Παπαδιαμάντη",ΜΕΤΑΜΟΡΦΩΣΗ
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αθ. Διάκου και Δάφνης",ΖΩΓΡΑΦΟΣ
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ασκληπιού και Αιγέως",ΚΑΛΛΙΘΕΑ_2
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Θριασίου Πεδίου και Γεννηματά",ΜΑΓΟΥΛΑ_1
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λεωφ. Σοφ. Βενιζέλου και Τοσίτσα",Λυκόβρυση
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγ. Κωνσταντίνου και Διονύσου",μαρουσι2
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σωκίων και Φορμίωνος",Βύρωνας
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λεωφ. Σαλαμίνος και Μητρομάρα",
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μακεδονίας και Βέργη",Ζωγράφος_1
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κερασιάς και Νεομάρτυρος Γεωργίου",ΜΠΡΑΧΑΜΙ_4
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ορφέως και Ιπποκράτους",ηλιουπολη_5
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ηρακλείου και Κρήτης",γλυφαδα_6
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λυδίας και Τράλλεων",βυρωνας
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αριστοφάνους και Ξανθίππου",ΧΟΛΑΡΓΟΣ
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Γκίνη και Κατσουλιέρη",χαλανδρι_4
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγίου Διονυσίου και Μπούκη",αχαρνες2
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μακεδονίας και Πλαταιών",ΜΑΚΕΔΟΝΙΑς
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Εθνομαρτύρων και Πολυνείκους",πολυνεικους
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λευκάδος και Χανδρή, όρια με Ταύρο",ΜΟΣΧΑΤΟ_1
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κουντουριώτου και Βασ. Γεωργίου Α'",πειραιας
26/12/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μακεδονομάχων και Ροδόπης",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ_2
27/01/2023,ΕΚΤΑΚΤΗ,"Αλέκου Παναγούλη και Γκανογιάννη",ΖΩΓΡΑΦΟΣ
27/01/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Αλ.Παναγούλη και Απόλλωνος",ΗΛΙΟΥΠΟΛΗ
27/01/2023,ΕΚΤΑΚΤΗ,"Ναυάρχου Νοταρά και Ρεθύμνης",ΚΟΡΥΔΑΛΛΟΣ
27/01/2023,ΕΚΤΑΚΤΗ,"Αγωνιστών και Γιαννοπούλου",ΠΕΥΚΗ
27/01/2023,ΕΚΤΑΚΤΗ,"Λεωφ. Πατριάρχου Γρηγορίου και Χελμού [Έως την αποκατάσταση θα υπάρχουν χαμηλές πιέσεις στην περιοχή Αγ. Μαρίνα (Άνω Ηλιούπολη-Υμηττός)]",ΗΛΙΟΥΠΟΛΗ
27/01/2023,ΕΚΤΑΚΤΗ,"17ης Νοεμβρίου και Μενίππου",ΧΟΛΑΡΓΟΣ
27/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ομ. Σκυλίτση και Κουντουριώτου",ΕΥΑΓΓΕΛΙΣΤΡΙΑ
27/01/2023,ΕΚΤΑΚΤΗ,"Ωκεανίδων και Ήβης",ΒΑΡΗ
27/01/2023,ΕΚΤΑΚΤΗ,"Εθνάρχου Μακατίου και Πύρρωνος",ΗΛΙΟΥΠΟΛΗ
27/01/2023,ΕΚΤΑΚΤΗ,"Μπιχάκη και Κισσάβου","ΑΓ. Ι. ΡΕΝΤΗΣ"
27/01/2023,ΕΚΤΑΚΤΗ,"Χάλκης και Αχαρνών",ΑΘΗΝΑ
27/01/2023,ΕΚΤΑΚΤΗ,"Αθανασίου Διάκου και Χρυσοστόμου Σμύρνης",ΠΕΥΚΗ
27/01/2023,ΕΚΤΑΚΤΗ,"Προβελεγγίου και Καλλέργη",ΠΕΡΙΣΤΕΡΙ
27/01/2023,ΕΚΤΑΚΤΗ,"Αθ. Διάκου και Αναλήψεως",ΜΑΓΟΥΛΑ
27/01/2023,ΕΚΤΑΚΤΗ,"Δόλασικ και Πήγασου",ΨΥΧΙΚΟ
27/01/2023,ΕΚΤΑΚΤΗ,"Δάφνης και Πελοποννήσου, περιοχή Αγία Παρασκευή",ΣΑΛΑΜΙΝΑ
27/01/2024,ΕΚΤΑΚΤΗ,"Χρυσαλλίδος και Στρέιτ",ΚΗΦΙΣΙΑ
27/01/2024,ΕΚΤΑΚΤΗ,"Φαρρών και Κέας",ΓΑΛΑΤΣΙ
27/01/2024,ΕΚΤΑΚΤΗ,"Γιαννούλη Αιτωλού και Ευσταθίου",ΑΘΗΝΑ
27/01/2024,ΕΚΤΑΚΤΗ,"Πιπίνου και Δωριέων",ΓΑΛΑΤΣΙ
27/01/2024,ΕΚΤΑΚΤΗ,"Πλάκας και Χατζηδάκη Μάνου",ΑΣΠΡΟΠΥΡΓΟΣ
27/01/2024,ΕΚΤΑΚΤΗ,"Μονής Κλειστών και Αγίας Σοφίας",ΦΥΛΗ
27/01/2024,ΕΚΤΑΚΤΗ,"Αγίου Ελευθερίου και Μυκόνου",ΚΑΜΙΝΙΑ
27/01/2024,ΕΚΤΑΚΤΗ,"Θωμά Παλαιολόγου και Παπαδιαμάντη",ΑΧΑΡΝΕΣ
27/01/2024,ΕΚΤΑΚΤΗ,"Παπανδρέου και Ήλιδος","ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ"
27/01/2024,ΕΚΤΑΚΤΗ,"Μπουμπουλίνας  και Μεσοποταμίας",ΓΕΡΟΒΟΥΝΟ
27/01/2024,ΕΚΤΑΚΤΗ,"Ελεευθερίας και Νεαπόλεως",ΜΑΡΟΥΣΙ
27/01/2024,ΕΚΤΑΚΤΗ,"Γεωργαντά και Αργυροπούλου",ΚΕΦΑΛΑΡΙ
27/01/2024,ΕΚΤΑΚΤΗ,"Οιτύλου και Τήνου",ΓΕΡΟΒΟΥΝΟ
27/01/2024,ΕΚΤΑΚΤΗ,"Κωνσταντινουπόλεως και Δεληγιάννη",ΚΕΡΑΤΣΙΝΙ
27/01/2024,ΕΚΤΑΚΤΗ,"Ηούς και Αιολίδος",ΑΘΗΝΑ
27/01/2024,ΕΚΤΑΚΤΗ,"Ανδρέα Δημητρίου και Οκταβίου Μερλιέ","Ν. ΙΩΝΙΑ"
27/01/2025,ΕΚΤΑΚΤΗ,"Γκοριτσάς και Ξηρομέρου",ΑΣΠΡΟΠΥΡΓΟΣ
27/01/2025,ΕΚΤΑΚΤΗ,"Δερβενακίων και Δαβάκη",ΔΑΦΝΗ
27/01/2025,ΕΚΤΑΚΤΗ,"Δημοκρατίας Λεωφ. και Λανίτου",ΠΕΡΑΜΑ
27/01/2025,ΕΚΤΑΚΤΗ,"Διαδόχου  Παύλου  -	Συνταγματάρχου  Δαβάκη (επηρεάζεται όλη η Φιλοθέη)",ΦΙΛΟΘΕΗ
27/01/2025,ΕΚΤΑΚΤΗ,"Επιδαύρου και Καραγιώργη Σερβίας",ΠΕΙΡΑΙΑΣ
27/01/2025,ΕΚΤΑΚΤΗ,"Θεοτοκοπούλου και Λευκωσίας",ΚΕΦΑΛΑΡΙ
27/01/2025,ΕΚΤΑΚΤΗ,"Καραολή & Δημητρίου και 25ης Μαρτίου",ΚΕΡΑΤΣΙΝΙ
27/01/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κοραή και Βασιλείου του Μεγάλου","Ν. ΣΜΥΡΝΗ Π"
27/01/2025,ΕΚΤΑΚΤΗ,"Μητροπόλεως και Μνησικλέους",ΑΘΗΝΑ
27/01/2025,ΕΚΤΑΚΤΗ,"Ολύμπου και Μοναστηρίου",ΑΘΗΝΑ
27/01/2025,ΕΚΤΑΚΤΗ,"Πρυτανείου και Ερεχθέως",ΑΘΗΝΑ
27/01/2025,ΕΚΤΑΚΤΗ,"Σπύρου Λούη και Πύρρου Δήμα",ΑΧΑΡΝΕΣ
27/01/2025,ΕΚΤΑΚΤΗ,"Φλέμινγκ Λεωφ. και Σταυράκη Ν.","ΑΓ. Ι. ΡΕΝΤΗΣ"
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ωρωπού και Χριστιανουπόλεως ","ΓΑΛΑΤΣΙ 2"
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγ. Γλυκερίας και Πρωτοπαπαδάκη ","γαλατσι 4"
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πανδοσίας και Ανδριτσαίνης",λΑΜΠΡΙΝΗ
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Βικέλα και Ποταμού Καλαμά",xalandri
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αρκαδίου και Σποράδων",σποραδων
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κολχίδος και Μεγαλου Σπηλαίου",κολχιδος
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λεωφ. Ηρακλείου και Παπαναστασίου","ΝΕΑ ΙΩΝΙΑ_1"
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πεύκων και Ειρήνης",ΗΡΑΚΛΕΙΟ
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Γαλήνης και Καποδιστρίου ",ΣΑΛΑΜΙΝΑ_1
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πομορίας και Καπετάν Ευκλείδη ",ΑΣΠΡΟΠΥΡΓΟΣ_3
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λήμνου και Αμοργού ",ΚΟΡΥΔΑΛΛΟΣ
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"25ης Μαρτίου και Κολοκοτρώνη ",ΠΕΤΡΟΥΠΟΛΗ_2
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Εθνικής Αντιστάσεως και Δυρού ",ΑΧΑΡΝΕΣ_9
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λάκκα Καλογήρου και Αρμύρες",ΜΕΓΑΡΑ_1
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Νικομήδειας και Κωνσταντινουπόλεως",ΧΑΙΔΑΡΙ_2
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πελοποννήσου και Αγίου Κωνσταντίνου ",ΜΟΣΧΑΤΟ_3
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αεροπορίας και Πραξιτέλους",ΑΡΓΥΡΟΥΠΟΛΗ_1
27/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σαλαμινομάχων και Λεωφ. Δημοκρατίας",
