year_month,total_consumption,total_days,avg_daily_consumption,counted_supplies,postcode_count,area_count,new_connections,reservoir_total_mean,reservoir_total_std,production_total_mean,production_total_std,interruptions_total,emergency_interruptions,planned_interruptions,chlorine_mean,chlorine_std,turbidity_mean,turbidity_std,year_month_str,consumption_available,PC1,PC2,iforest_label,iforest_score,mahalanobis,mahalanobis_anomaly,cluster_month_kmeans,cluster_month_hierarchical,cluster_month_dtw,cluster_month_feature
2024-12,18403811.0,65574848.0,3.3913495872528316,2213433.0,280.0,562.0,830.0,18773012000,114442587.63530545,31419418,167014.07267369897,533,517,16,,,0.23271957671957672,0.12668453556798082,2024-12,1,0.2921167446575689,-0.0011215116663800782,1,0.012718255130786282,3.3885836777900016,0,0,0,0,0
2025-01,16166154.0,65229476.0,1.6291752170481453,2199887.0,279.0,556.0,893.0,20130192000,138167900.16956252,31537003,170660.3677772952,470,455,15,,,0.2631887755102041,0.1416858492358662,2025-01,1,-0.0044542004117703385,0.143970962719337,1,0.12153962652786743,2.224147441540341,0,0,0,0,0
2025-02,14527426.0,58268979.0,1.777344643913987,2200099.0,281.0,561.0,957.0,18686372000,152604823.15139812,28095456,168184.34575638486,496,449,47,,,0.2565068870523416,0.13309296311560023,2025-02,1,-0.4559843399185105,-0.21226944776476123,1,0.056166024018835914,2.7946530099098683,0,0,0,0,0
2025-03,16096186.0,63720342.0,1.7313021343254358,2209931.0,281.0,560.0,1028.0,20400529000,146078469.7685314,32015026,172264.38168595723,466,431,35,,,0.23098022598870055,0.1207252500935371,2025-03,1,-0.4567150551998902,-0.8041776354212308,1,0.1157247629610359,2.101844402967829,0,0,0,0,0
2025-04,,,,,,,909.0,19423621000,136151357.25953442,30796976,169993.05141953082,371,342,29,,,0.25064533333333333,0.12658031870626246,2025-04,0,0.22666281156118398,0.08895025199752236,1,0.10065654052049922,3.5723772900725876,0,0,0,0,0
2025-05,,,,,,,968.0,19338162000,126415291.1800617,35410476,181280.22616776335,488,432,56,,,0.25628645833333336,0.12002485044673314,2025-05,0,-0.5275680457925798,-0.1804294199935903,1,0.11367125392493316,1.7099513888439142,0,0,0,0,0
2025-06,,,,,,,,17642892000,114802964.08885334,36739837,202046.33905474542,505,460,45,,,0.24393805309734512,0.134662845469879,2025-06,0,-0.7245869518807793,-0.792725011338901,1,0.12096384736499255,2.0551954368253607,0,0,0,0,0
2025-07,,,,,,,,16531191000,100456960.12917754,39247523,204404.01625433733,514,481,33,,,0.2465730994152047,0.1282994763741177,2025-07,0,-0.7936535251650674,-0.9190979267178113,1,0.08187438056403368,2.7597787301656447,0,0,0,0,0
2025-08,,,,,,,,14677589000,86248819.42795604,35980606,184761.99719428318,517,0,517,,,,,2025-08,0,-3.3162932213252136,0.5665391131642384,1,0.04198940645560734,2.136546776168707,0,1,1,1,1
2025-09,,,,,,,,12724734000,74772439.61197795,36292560,204382.01979835983,506,0,506,,,,,2025-09,0,-3.3570503140035903,0.5022588930791421,1,0.03702710991329905,1.947309151796624,0,1,1,1,1
2025-10,,,,,,,,12052941000,65023681.69027563,33325321,193820.08767612476,597,0,597,,,,,2025-10,0,-4.187811611895035,0.6355686047710999,1,0.010346398101325538,2.264384896605616,0,1,1,1,1
2025-11,,,,,,,,11082310000,61557752.37713027,30971451,190738.61725116146,522,0,522,,,,,2025-11,0,-3.5577807947698834,0.7346317002565739,1,0.0388997187898929,3.292972803781728,0,1,1,1,1
2025-12,,,,,,,,12310924000,74010031.93483308,30685448,181845.13645956086,652,0,652,,,,,2025-12,0,-4.634583843111591,0.776182620187387,-1,-0.03106727971640555,3.324267564374186,0,1,1,1,1
2026-01,,,,,,,,14408682000,86792081.44136462,30876617,183465.12000853833,559,0,559,,,,,2026-01,0,-3.656773297225291,0.8211520937285045,1,0.04251710120701879,3.065237998210488,0,1,1,1,1
