ΤΚ,Περιοχή,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,cluster_post_kmeans,cluster_post_hierarchical,cluster_post_dtw,cluster_post_feature
16777,ΑΝΩ ΕΛΛΗΝΙΚΟ,-0.19855226466700648,-0.23760382299487584,0.4566461028339128,0.508714847271072,0.3177961176681551,0.040096147336639625,0.15291176028381778,0.0661305195552192,-0.0380069693190991,0.08782582973736884,-0.48926942110781174,-0.5630334757271206,-0.5717115997999804,-0.5890678479457001,-0.29835069150489485,-0.41116630445207303,1.7106350313621623,2.096811552604426,2.2920693442437727,-2.6067316948856174,-0.6216108132189246,1.3635100684477681,0.35250861395959454,-0.6064240960914199,-0.6064240960914199,-0.9448709349329544,-0.6628319025650089,1,0,1,1
16777,ΕΛΛΗΝΙΚΟ,-0.41609401933584617,-0.7924614344246163,-0.35115671137259746,-0.5406852744073456,0.2561416036328145,0.3581584986875041,0.28015688024644203,0.27516170271080753,0.14259737580358375,0.42895553414447796,-0.0450099651020742,-0.002262772729817268,0.15191530312967122,0.05566207446225224,0.3683409759716822,0.43174130623165874,0.8498953026281406,0.9474933867859228,1.2682414212375315,-2.6243467345121214,-3.510318319342067,0.9342369540952004,0.38342256968504024,0.3474957158710535,0.34807208250978056,0.03059012567762514,0.42405641771529795,0,0,0,0
16777,ΚΑΤΩ ΕΛΛΗΝΙΚΟ,-0.119078756878919,-0.8127911359187666,-0.26490866580320893,-0.3685325123494109,0.8956585069942632,-0.18547367104444895,-0.14754794046413874,0.14460959038418278,-0.23564314141840265,1.6954832975790206,-0.5148601342734425,-0.5626405822486364,0.27311908691746495,-0.5208326902703417,-0.31278865637835124,1.5482597922554542,-0.3627590415524083,-0.05726280231101179,3.7860769816936544,-0.9273646684592838,-1.1348114467515844,-0.27197619039953974,-0.44169632331142666,0.4452282422281116,-0.4848978116889979,-0.5716989588439336,-0.49087036768589715,1,1,1,1
16777,ΣΟΥΡΜΕΝΑ,0.020402681327512075,-0.4244956920585012,-0.04925489247564814,-0.13518923603683322,0.7356179460174975,0.4625007502390264,0.6477583931300944,0.40080654228522244,0.2548406715519671,0.991583276889663,-0.09817271126455085,-0.1090238911032341,0.12882697019951647,-0.1882200020226562,0.30822147559710245,0.3721909309364368,0.5484350938002115,0.7482193161527426,1.4112789100051861,-2.7187326423065556,-3.5088560516893867,0.6266686000565246,-0.002437302042619604,0.07842148965853622,-0.09195953571175641,-0.37951580143686253,-0.02991528969864009,0,0,0,0
17121,ΝΕΑ ΣΜΥΡΝΗ,0.19562070301674714,-0.5311689883585868,-0.09860350811791484,0.1446004429704507,0.35532186407272504,0.27010364230342293,0.47224790472112466,0.48586068560115603,0.4656628603116786,0.6003519199132898,0.3627369560968072,0.27879147400328036,0.3034715564117925,-0.19333960920171045,0.15716183020527638,0.18483008402647838,0.3428711498531842,0.25029317256744227,0.4518287334010776,-1.2310651370197123,-4.640292036360579,0.5084379807192568,0.29389834058965664,0.3298117340495768,0.3190764515669504,-0.1511178538705562,0.07260764652768309,0,0,0,0
17122,ΝΕΑ ΣΜΥΡΝΗ,0.36652840444580725,-0.39633072579952666,0.07534891568787828,0.40883225915080607,0.2133228544234987,-1.9106530727362856,0.5967258582347694,0.5166209244241211,0.027708438050317176,0.8840140594377051,0.6110680323660305,-0.19448408133980158,0.317387001608463,-0.6064602537691661,-0.4940576332520733,0.5033905467371439,0.5501971770414921,0.14455824434454526,0.7430938601247326,-0.2002098330278632,-4.151756755301369,0.6002280170342634,0.40138322297410456,0.36258152706859975,0.3478502241818393,-0.07090790655765647,0.3540206944476144,1,1,0,0
17123,ΝΕΑ ΣΜΥΡΝΗ,0.22691655504571845,-0.6752833416433351,0.12978701032814352,0.11159239838614164,-0.3184270856690869,-2.736056760693638,0.27979636377141576,0.1992673411278123,0.21856132539259374,0.5628297682710158,0.7891905295313292,0.35328940354922994,1.0557883178053749,-0.29567007858754984,-0.018353410166403454,0.3006294692880886,0.4429432164719038,-0.27736552941327,0.470647399005949,0.24296739095830017,-3.6588149198186692,0.7139934626532066,0.55238573120461,0.5350156485046927,0.4927997513099573,0.04420087499975404,0.25736916838671253,1,1,0,0
17124,ΝΕΑ ΣΜΥΡΝΗ,0.24659783912285121,-0.2267168496715361,0.2937168106795831,0.2068700787907047,0.2592552883449537,-3.110490299083836,0.21777211534696816,0.2214215258891072,0.20040276896919249,0.535501807863833,0.30309440992077585,0.28581745368330747,0.3146431774591905,-0.018146107927766955,0.4280520746864227,0.3999192769628445,0.4912007355864742,0.19841638095258515,0.31796922251025395,0.2848935522802343,-3.6944883759663893,0.5619253879917256,0.45539955621738865,0.37709891230693715,0.26627693900830984,-0.14448962479802357,0.3280859428739052,1,1,0,0
17124,ΑΝΩ ΝΕΑ ΣΜΥΡΝΗ,0.1807677760194849,-0.24830738464215008,0.5025741465157112,0.6634773317638243,0.8780149120946418,-2.340048792867621,1.1461868875081636,1.1461868875081636,0.6634773317638243,0.4489397514330068,0.28803656618489365,0.07349898585407616,-0.08740419939403696,-0.3555761748075588,-0.03376980431133258,-0.14103859447674133,0.01986459077137179,-0.08740419939403696,0.01986459077137179,0.01986459077137179,-3.734543065017934,-0.3555761748075588,-0.46284496497296757,0.5562085415984155,0.5025741465157112,-0.03376980431133258,0.770746121929233,1,1,0,0
17234,ΑΓ. ΙΩΑΝΝΗΣ,0.05829186439566894,-0.31747887390582086,0.3069903723536598,0.18536409473916793,0.33422013599869527,-3.189311279668898,0.09096758076971154,0.07826035773536164,0.2779452911322886,0.4939680827162369,0.5411663397009651,0.2652380680979387,0.2035172705025249,-0.08330290655851563,0.3977562511704448,0.2924678317429742,0.44495450815517296,0.2198551286895462,0.3487426766093809,0.3487426766093809,-3.5904964640390875,0.5811033263803504,0.4286166499681517,0.41772474451013747,0.41227879178113036,-0.04155060230279454,0.4939680827162369,1,1,0,0
